club,year,ladder_position,membership,finals,top4
Essendon,2022,15,86001,0,0
Fremantle,2022,5,56105,1,0
Geelong,2022,1,71943,1,1
Gold Coast,2022,12,21422,0,0
GWS,2022,16,32614,0,0
Hawthorn,2022,13,81494,0,0
North Melbounre,2022,18,49250,0,0
Port Adelaide,2022,11,58643,0,0
Richmond,2022,7,100792,1,0
St. Kilda,2022,10,60172,0,0
Sydney,2022,3,55934,1,1
West Coast ,2022,17,102897,0,0
Western Bulldogs,2022,8,50941,1,0
Adelaide,2023,10,68536,0,0
Brisbane,2023,2,54676,1,1
Carlton,2023,5,95277,1,0
Collingwood,2023,1,106470,1,1
Essendon,2023,11,86274,0,0
Fremantle,2023,14,62064,0,0
Geelong,2023,12,82155,0,0
Gold Coast,2023,15,23359,0,0
GWS,2023,7,33036,1,0
Hawthorn,2023,16,80698,0,0
North Melbounre,2023,17,51084,0,0
Port Adelaide,2023,3,64041,1,1
Richmond,2023,13,101349,0,0
St. Kilda,2023,6,60239,1,0
Sydney,2023,8,65332,1,0
West Coast ,2023,18,103275,0,0
Western Bulldogs,2023,9,56302,0,0
Adelaide,2024,15,75477,0,0
Brisbane,2024,5,63268,1,0
Carlton,2024,8,106345,1,0
Collingwood,2024,9,110628,0,0
Essendon,2024,11,83664,0,0
Fremantle,2024,10,62237,0,0
Geelong,2024,3,90798,1,1
Gold Coast,2024,13,26157,0,0
GWS,2024,4,36629,1,1
Hawthorn,2024,7,83823,1,0
North Melbounre,2024,17,50628,0,0
Port Adelaide,2024,2,66015,1,1
Richmond,2024,18,98489,0,0
St. Kilda,2024,12,60467,0,0
Sydney,2024,1,73757,1,1
West Coast ,2024,16,103498,0,0
Western Bulldogs,2024,6,62328,1,0
Adelaide,2025,1,81067,1,1
Brisbane,2025,3,75115,1,1
Carlton,2025,11,100743,0,0
Collingwood,2025,4,112491,1,1
Essendon,2025,15,85568,0,0
Fremantle,2025,6,66179,1,0
Geelong,2025,2,92379,1,1
Gold Coast,2025,7,30107,1,0
GWS,2025,5,37705,1,0
Hawthorn,2025,8,87204,1,0
North Melbounre,2025,16,56283,0,0
Port Adelaide,2025,13,72656,0,0
Richmond,2025,17,92531,0,0
St. Kilda,2025,12,65509,0,0
Sydney,2025,10,76674,0,0
West Coast ,2025,18,107079,0,0
Western Bulldogs,2025,9,65584,0,0
